,일시,eocs지역명,평균기온(°C),평균최고기온(°C),평균최저기온(°C),평균상대습도(%),최소상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),최대풍속(m/s),합계 일조시간(hr),일조율(%),최심적설(cm),평균지면온도(°C)
48,2020-05,전북,17.630000000000003,23.419999999999998,12.55,74.3,18.2,89.25,1.94,8.75,207.01,47.492,0.0,20.9
49,2020-05,제주,18.275,22.2,15.175,82.0,24.0,150.325,3.05,11.325,201.725,46.815,0.0,21.5
50,2020-06,강원,22.42142857142857,27.92142857142857,17.571428571428573,70.92857142857143,22.214285714285715,121.77857142857142,1.6785714285714286,7.542857142857143,224.92142857142858,50.87428571428571,0.0,28.25714285714286
51,2020-06,경기,22.96,28.6,18.2,75.8,28.4,110.25999999999999,1.46,7.5,220.01999999999998,49.816,0.0,28.28
52,2020-06,광주전남,22.22142857142857,26.82857142857143,18.435714285714287,80.85714285714286,24.714285714285715,300.37142857142857,2.1285714285714286,10.135714285714286,196.28571428571428,45.347857142857144,0.0,25.907142857142855
53,2020-06,대구경북,22.766666666666666,28.433333333333334,17.706666666666667,72.13333333333334,24.2,148.54666666666665,1.84,7.286666666666666,229.45333333333335,52.322,0.0,28.313333333333333
54,2020-06,대전충청,22.823076923076922,28.176923076923078,18.36923076923077,74.84615384615384,25.53846153846154,162.84615384615384,1.4769230769230768,6.392307692307692,194.6307692307692,44.48384615384615,0.0,27.253846153846155
55,2020-06,부산경남,23.075,28.7,18.55625,74.0625,22.5,247.85,1.5562500000000001,8.025,220.425,50.66375,0.0,27.3125
56,2020-06,서울,23.9,29.0,19.9,68.0,26.0,139.6,2.3,7.6,206.1,46.62,0.0,28.7
57,2020-06,인천,20.633333333333333,24.8,17.233333333333334,81.33333333333333,30.666666666666668,124.0,2.566666666666667,9.466666666666667,205.9,46.56,0.0,25.53333333333333
58,2020-06,전북,22.54,27.919999999999998,18.3,79.6,27.1,172.77,1.67,7.87,176.59,40.492000000000004,0.0,26.310000000000002
59,2020-06,제주,22.025,25.3,19.425,87.75,41.25,311.175,2.7750000000000004,14.0,159.375,37.035,0.0,25.0
60,2020-07,강원,21.771428571428572,26.057142857142857,18.307142857142857,82.64285714285714,35.5,271.6357142857143,1.4428571428571428,7.2,143.59285714285713,31.987142857142857,0.0,25.150000000000002
61,2020-07,경기,23.22,27.52,19.7,84.0,41.6,292.36,1.3800000000000001,6.58,142.32,31.732,0.0,26.02
62,2020-07,광주전남,22.74285714285714,25.978571428571428,20.435714285714287,89.0,50.92857142857143,395.61428571428576,2.0285714285714285,8.942857142857143,76.85714285714286,17.427142857142858,0.0,25.057142857142857
63,2020-07,대구경북,21.89333333333333,25.646666666666665,18.973333333333336,87.46666666666667,46.06666666666667,405.68666666666667,1.52,7.493333333333334,103.80666666666666,23.296666666666667,0.0,24.92
64,2020-07,대전충청,22.923076923076923,26.792307692307695,19.807692307692307,84.0,44.15384615384615,426.4307692307693,1.3692307692307693,7.007692307692308,96.03846153846153,21.53923076923077,0.0,25.46153846153846
65,2020-07,부산경남,22.65625,26.275,20.10625,87.875,49.625,579.11875,1.28125,6.6,86.725,19.603749999999998,0.0,24.875
66,2020-07,서울,24.1,28.0,21.1,77.0,34.0,270.4,2.4,8.7,119.4,26.62,0.0,25.8
67,2020-07,인천,22.233333333333334,25.633333333333336,19.599999999999998,85.66666666666667,43.666666666666664,247.9,2.466666666666667,10.666666666666666,168.53333333333333,37.54666666666667,0.0,25.166666666666668
68,2020-07,전북,22.830000000000002,26.54,20.119999999999997,87.5,50.9,520.48,1.44,7.75,77.61,17.509999999999998,0.0,25.169999999999998
69,2020-07,제주,23.55,26.325,21.4,89.75,53.5,283.15,3.0250000000000004,11.475000000000001,121.775,27.835,0.0,25.75
70,2020-08,강원,25.057142857142857,29.00714285714286,22.2,85.42857142857143,44.0,508.10714285714283,1.407142857142857,7.7,114.04285714285713,27.09,0.0,27.014285714285712
71,2020-08,경기,25.78,29.560000000000002,23.14,91.2,52.6,668.1,1.48,9.059999999999999,99.02000000000001,23.536,0.0,27.4
72,2020-08,광주전남,27.214285714285715,30.964285714285715,24.414285714285715,85.57142857142857,49.5,279.70714285714286,2.557142857142857,13.37142857142857,175.70000000000002,42.36642857142857,0.0,30.021428571428572
73,2020-08,대구경북,26.453333333333333,31.033333333333335,23.053333333333335,84.0,42.666666666666664,277.06,1.6266666666666665,6.766666666666667,164.56,39.28933333333334,0.0,29.740000000000002
74,2020-08,대전충청,26.361538461538462,30.5,23.36923076923077,85.23076923076923,45.76923076923077,443.2307692307692,1.5307692307692307,7.93076923076923,130.37692307692308,31.10923076923077,0.0,28.523076923076925
75,2020-08,부산경남,27.3125,31.65625,24.19375,84.3125,40.75,343.4125,1.73125,7.5375,181.88125,43.775625,0.0,29.85625
76,2020-08,서울,26.5,29.3,24.4,85.0,49.0,675.7,2.3,8.3,74.7,17.76,0.0,27.0
77,2020-08,인천,25.0,27.400000000000002,23.166666666666668,91.0,58.333333333333336,422.8999999999999,2.966666666666667,12.866666666666667,88.66666666666667,21.073333333333334,0.0,26.53333333333333
78,2020-08,전북,26.910000000000004,31.21,23.82,83.7,46.9,550.51,1.9,9.66,153.69,37.63,0.0,29.169999999999998
79,2020-08,제주,28.099999999999998,30.95,25.85,85.25,52.5,171.375,3.475,14.5,220.65,53.29,0.0,30.799999999999997
80,2020-09,강원,18.678571428571427,23.457142857142856,14.864285714285714,80.28571428571429,29.428571428571427,304.64285714285717,1.7714285714285716,9.728571428571428,151.6142857142857,40.692142857142855,0.0,21.164285714285715
81,2020-09,경기,19.94,25.3,15.86,81.6,30.6,164.16,1.46,8.28,181.54000000000002,48.730000000000004,0.0,22.48
82,2020-09,광주전남,21.264285714285712,25.642857142857142,17.757142857142856,81.71428571428571,34.642857142857146,221.00714285714284,2.107142857142857,13.485714285714286,163.15,43.89142857142857,0.0,23.99285714285714
83,2020-09,대구경북,19.69333333333333,24.686666666666667,15.726666666666667,80.86666666666666,32.2,174.59333333333333,1.9533333333333334,12.353333333333333,147.62666666666667,39.662,0.0,22.39333333333333
84,2020-09,대전충청,20.023076923076925,25.115384615384617,15.961538461538462,79.46153846153847,31.384615384615383,184.94615384615383,1.4846153846153847,8.8,167.65384615384616,45.14076923076924,0.0,22.53076923076923
85,2020-09,부산경남,20.925,25.65625,17.2,80.0625,32.0625,280.39375,1.6875,12.1625,146.9625,39.68625,0.0,23.06875
86,2020-09,서울,21.4,25.6,18.0,71.0,27.0,181.5,2.5,9.8,174.3,46.77,0.0,22.4
